label,array_size,working_set_bytes,ntimes,copy_min,copy_med,copy_max,scale_min,scale_med,scale_max,add_min,add_med,add_max,triad_min,triad_med,triad_max,cpu_freq_mhz,temp_c
767K,32725,785408,6,24956.1,26144.5,26144.5,11681.6,11871.0,11935.5,19152.4,19152.4,19152.4,17522.4,17903.3,17903.3,2,53.0
813K,34688,832512,6,25303.0,25303.0,26453.1,11581.5,11816.6,11816.6,19398.9,19398.9,19398.9,17724.9,17724.9,17724.9,2,53.0
861K,36736,881664,5,25415.6,25415.6,25680.3,11739.6,11795.7,11795.7,19160.4,19160.4,19260.2,17609.4,17693.6,17693.6,2,53.0
912K,38912,933888,5,25854.9,26113.4,26113.4,11710.0,11762.8,11762.8,19391.1,19487.6,19487.6,17644.2,17644.2,17644.2,2,53.0
967K,41258,990208,5,25401.6,25401.6,25401.6,11782.0,11782.0,11782.0,19407.3,19407.3,19407.3,17377.3,17673.0,17673.0,2,53.0
1.00M,43690,1048576,5,25059.7,25059.7,25946.8,11822.5,11822.5,11870.4,19121.6,19374.4,19460.1,17805.6,17805.6,17805.6,2,53.0
1.06M,46293,1111040,5,24656.1,25464.5,25675.0,11767.7,11767.7,11767.7,19098.4,19177.0,19177.0,17584.9,17651.5,17651.5,2,53.0
1.12M,49024,1176576,5,25307.3,25307.3,25307.3,11708.0,11708.0,11708.0,18980.5,18980.5,18980.5,17562.0,17562.0,17562.0,2,53.0
1.19M,51968,1247232,5,25271.8,25833.4,26026.2,11703.1,11742.5,11742.5,19232.6,19232.6,19232.6,17554.6,17613.7,17613.7,2,53.0
1.26M,55040,1320960,5,25299.1,25829.9,26011.8,11763.3,11763.3,11763.3,19171.3,19171.3,19171.3,17588.9,17644.9,17644.9,2,53.0
1.33M,58325,1399808,5,25252.4,25921.4,25921.4,11825.1,11825.1,11825.1,19186.9,19186.9,19186.9,17684.3,17737.7,17737.7,2,53.0
1.41M,61781,1482752,5,25435.9,25435.9,26075.8,11778.6,11778.6,11778.6,19018.6,19254.1,19254.1,17617.8,17667.8,17667.8,2,53.0
1.50M,65450,1570816,5,25536.5,25536.5,25536.5,11775.5,11775.5,11775.5,19152.4,19152.4,19152.4,17663.3,17663.3,17663.3,2,53.0
1.59M,69333,1664000,5,25287.3,25849.2,25849.2,11809.3,11809.3,11809.3,19121.3,19121.3,19173.9,17535.9,17535.9,17713.9,2,53.0
1.68M,73472,1763328,5,25547.3,25547.3,25547.3,11739.6,11739.6,11767.6,19160.4,19160.4,19210.2,17609.4,17651.4,17651.4,2,53.0
1.78M,77866,1868800,5,25366.5,25997.5,25997.5,11769.1,11769.1,11769.1,19258.6,19258.6,19258.6,17614.0,17653.7,17653.7,2,53.0
1.89M,82474,1979392,5,25388.7,25388.7,25863.3,11676.7,11676.7,11776.0,19217.8,19217.8,19217.8,17515.0,17515.0,17664.1,2,53.0
2.00M,87381,2097152,5,24953.4,25495.8,25495.8,11751.6,11751.6,11751.6,19205.4,19247.4,19247.4,17627.4,17627.4,17627.4,2,53.0
2.12M,92586,2222080,5,25569.3,25569.3,25569.3,11745.4,11745.4,11767.7,19137.6,19137.6,19336.1,17618.2,17651.5,17651.5,2,53.0
